Crossing ID,City,State,Street,County,Railroad,Date/Time,Duration,Reason,Immediate Impacts,Additional Comments
025017A,HOLBROOK,AZ,NAVAJO BLVD,NAVAJO,BNSF,2024-07-29 21:51:00,31-60 minutes,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",I can't eat because of the train I'm going to die starvation
741542E,PHOENIX,AZ,48TH STREET,MARICOPA,UP,2024-07-30 05:30:00,16-30 minutes,A stationary train,,
026480N,RIVERSIDE,CA,3RD ST,RIVERSIDE,BNSF,2024-07-30 09:00:00,16-30 minutes,A stationary train,,Backed up traffic onto freeway offramp
760697X,CABAZON,CA,Broadway Street,RIVERSIDE,UP,2024-07-30 12:22:00,16-30 minutes,A moving train,,
760753C,GLAMIS,CA,Ben Hulse Hwy,IMPERIAL,UP,2024-07-29 19:50:00,31-60 minutes,A stationary train,,
057548K,STERLING,CO,COUNTY RD 322,LOGAN,BNSF,2024-07-30 07:00:00,1-2 hours,A stationary train,,train blockage to our main entrance to hwy. This has every day and sits on track for over 1 hr. blockage time is only limitd to 15 mins. pls help with this concern
272405C,WEST PALM BEACH,FL,36TH STREET,PALM BEACH,FEC,2024-07-30 10:11:00,16-30 minutes,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",
637584H,WAYCROSS,GA,SWEAT ST,WARE,CSX,2024-07-29 22:07:00,1-2 hours,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",Disturbing the peace there is a residential neighborhood here 
637584H,WAYCROSS,GA,SWEAT ST,WARE,CSX,2024-07-29 22:04:00,1-2 hours,A stationary train,,Respect people trying to sleep not listening to a locomotive popping off running 
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 06:15:00,2-6 hours,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",traffic congestion
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 06:10:00,2-6 hours,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",kids going underneath trains
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 06:00:00,2-6 hours,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",fewer customers visiting businesses.
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 05:15:00,2-6 hours,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",going over train cars.
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 03:00:00,6-12 hours,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",ems couldn't get around.
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 03:00:00,2-6 hours,A stationary train,First responders were observed being unable to cross the tracks,police couldn't get around.
732763H,WADLEY,GA,MAIN ST,JEFFERSON,NS,2024-07-30 01:00:00,6-12 hours,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",kids doing backflips over train cars.
064031B,SIOUX CITY,IA,6TH STREET,WOODBURY,BNSF,2024-07-29 14:42:00,16-30 minutes,A moving train,,
876147V,BRADFORD,IA,CR C55,FRANKLIN,UP,2024-07-30 08:30:00,0-15 minutes,No train was present but the lights and/or gates were activated,,There is a plank sticking up at this crossing
004741A,LOMAX,IL,MAIN ST,HENDERSON,BNSF,2024-07-29 17:35:00,31-60 minutes,A stationary train,,
283171G,HARVEY,IL,150TH ST,COOK,CSX,2024-07-29 17:22:00,2-6 hours,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",
283171G,HARVEY,IL,150TH ST,COOK,CSX,2024-07-29 15:00:00,16-30 minutes,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",Ambulances to Ingalls UChicago Hospital 
283177X,HARVEY,IL,HALSTED ST,COOK,CSX,2024-07-29 16:31:00,0-15 minutes,A stationary train,,
309452U,LEMONT,IL,PRIVATE RD,COOK,IC,2024-07-29 18:56:00,31-60 minutes,A moving train,,
869223U,BEDFORD PARK,IL,W 65TH STREET,COOK,BRC,2024-07-29 21:01:00,31-60 minutes,A stationary train,,
154238G,MORRISTOWN,IN,SR 9,SHELBY,CSX,2024-07-29 15:34:00,31-60 minutes,A stationary train,,
478029V,FORT WAYNE,IN,LINDENWOOD AVE,ALLEN,NS,2024-07-30 07:47:00,31-60 minutes,A stationary train,,"Stopped for at least 30 minutes, still stuck and late for work"
343935P,LOUISVILLE,KY,PRESTON HWY,JEFFERSON,CSX,2024-07-30 12:09:00,31-60 minutes,A stationary train,,I am just a few cars from the railroad track and from my position on Preston Highway going south there was no disruptions to why this train has been stuck it backs up and goes forward and then it stands blocked on the track.
937222A,FAIRDALE,KY,OSBORN YARD,JEFFERSON,CSX,2024-07-29 16:15:00,31-60 minutes,A stationary train,First responders were observed being unable to cross the tracks,very long train  but stopped for 10  minutes   restarted   stopped for 15 minutes
233685B,MONROE,MI,MALL ROAD,MONROE,CSX,2024-07-30 06:50:00,0-15 minutes,A stationary train,,Trains blocking RR crossings in Monroe Mi is a reoccurring problem
283391C,EDWARDSBURG,MI,PINE LAKE RD,CASS,GTW,2024-07-30 11:09:00,31-60 minutes,A stationary train,,
511349J,BAY CITY,MI,WILDER ROAD,BAY,HESR,2024-07-29 22:06:00,16-30 minutes,A stationary train,First responders were observed being unable to cross the tracks,Constant issue with this railroad 
511349J,BAY CITY,MI,WILDER ROAD,BAY,HESR,2024-07-29 21:50:00,16-30 minutes,A stationary train,,
513303C,MARYSVILLE,OH,US42,UNION,CSX,2024-07-29 15:45:00,1-2 hours,No train was present but the lights and/or gates were activated,,The crossing gates were down and blocking the crossing for 60-90 minutes. CSX was notified. 
524368B,OLMSTED FALLS,OH,SPRAGUE RD,LORAIN,CSX,2024-07-30 13:55:00,16-30 minutes,A stationary train,,Business traffic blocked
524707D,SHARONVILLE,OH,HAUCK ROAD,HAMILTON,NS,2024-07-30 06:56:00,16-30 minutes,A stationary train,,Occurrence during a.m. rush-hour between 7 and 9 AM and it blocks multiple crossings
